,PULocationID,DOLocationID,tpep_pickup_datetime,tpep_dropoff_datetime,trip_duration,passenger_count,trip_distance,CO2_grams
0,200,220,2017-03-04 02:36:43,2017-03-04 02:40:06,0 days 00:03:23,1,0.52,210.07999
1,202,209,2017-03-10 07:14:34,2017-03-10 07:27:33,0 days 00:12:59,1,6.08,2456.32
2,202,216,2017-03-10 19:44:18,2017-03-10 20:11:03,0 days 00:26:45,1,11.6,4686.4004
3,203,216,2017-03-17 00:25:41,2017-03-17 00:40:45,0 days 00:08:16,1,4.28,1729.1201
4,203,218,2017-03-23 23:01:02,2017-03-23 23:12:07,0 days 00:11:05,1,3.06,1236.24
5,203,219,2017-03-06 06:37:49,2017-03-06 06:54:39,0 days 00:16:50,1,4.22,1704.8799
6,205,215,2017-03-12 23:55:12,2017-03-13 00:09:24,0 days 00:05:11,1,1.7,686.80005
7,205,216,2017-03-04 20:02:38,2017-03-04 20:25:39,0 days 00:23:01,1,5.2,2100.7998
8,205,218,2017-03-18 01:38:19,2017-03-18 01:49:14,0 days 00:10:55,1,3.1,1252.3999
9,205,219,2017-03-25 17:21:07,2017-03-25 17:31:11,0 days 00:10:04,1,1.9,767.6
10,208,212,2017-03-25 00:44:50,2017-03-25 00:57:26,0 days 00:12:36,1,3.17,1280.68
11,208,213,2017-03-09 13:28:13,2017-03-09 13:29:01,0 days 00:00:34,1,0.2,80.8
12,208,216,2017-03-16 18:35:10,2017-03-16 19:20:32,0 days 00:45:22,5,13.4,5413.5996
13,209,202,2017-03-03 00:48:47,2017-03-03 01:13:28,0 days 00:18:57,1,8.5,3434.0
14,209,203,2017-03-09 16:34:33,2017-03-09 18:37:44,0 days 02:03:11,1,20.57,8310.28
15,209,207,2017-03-24 12:55:42,2017-03-24 14:22:30,0 days 01:26:48,6,14.91,6023.64
16,209,208,2017-03-01 01:14:48,2017-03-01 01:41:28,0 days 00:26:40,1,17.1,6908.4004
17,209,210,2017-03-10 21:24:14,2017-03-10 21:49:23,0 days 00:25:09,1,9.55,3858.2002
18,209,211,2017-03-01 12:32:42,2017-03-01 12:46:27,0 days 00:04:02,1,0.8,323.2
19,209,212,2017-03-14 01:09:39,2017-03-14 01:31:06,0 days 00:21:27,5,14.33,5789.32
20,209,214,2017-03-11 02:08:39,2017-03-11 02:29:51,0 days 00:21:12,1,12.9,5211.5996
21,209,215,2017-03-23 17:45:27,2017-03-23 19:00:10,0 days 00:36:40,1,15.91,6427.64
22,209,216,2017-03-09 10:31:23,2017-03-09 11:08:04,0 days 00:36:41,1,14.2,5736.8
